round,train_loss,test_loss
62,0.2219011980988236,0.27070544404207375
63,0.21825999565910884,0.26756389789857654
64,0.21476293797357207,0.26447546363943986
65,0.21126351459266088,0.26149095650006915
66,0.20799265027368555,0.2586422761290405
67,0.20481477536552437,0.2559519266579702
68,0.20168059489387477,0.2534984623034004
69,0.19876902792704373,0.25099220983262127
70,0.19599697895033297,0.24856938472766923
71,0.1933102293827347,0.2463127431814628
72,0.19058831067568296,0.24416024815379636
73,0.18816000672006128,0.24213182950813622
74,0.1857103156455373,0.24015344702902397
75,0.1833426236174398,0.2381099616066792
76,0.18106926783052843,0.23628905496247327
77,0.17890926128983625,0.2345665396709413
78,0.17678649653308248,0.23289825025215
79,0.17474314058040244,0.23138331623178332
80,0.1727512739517819,0.22982041732396877
81,0.1709057104706577,0.22825725802217342
82,0.1691949794454135,0.22676635191122196
83,0.16742091087953842,0.22533747631883616
84,0.16573582043385862,0.22409902019633793
85,0.16407809350486327,0.22291129671314858
86,0.16251765790143086,0.22167400077630514
87,0.16096444321308812,0.22071557918649914
88,0.15945643545408655,0.21966032397477
89,0.15803591969617664,0.21858779138180737
90,0.1565415267592794,0.21757673638422623
91,0.15511186301508129,0.2166691855624438
92,0.15384086110510584,0.21574706947692976
93,0.15245139959838327,0.2147881832527753
94,0.15116844827107265,0.21384793606198504
95,0.1499277823504339,0.21307999105898784
96,0.14863510090297075,0.21239099403721468
97,0.1474648925050538,0.21158731002449052
98,0.14636336343923081,0.21077765457455994
99,0.14531040182963098,0.21017767012712726
100,0.14426502252426876,0.20957390295806422
101,0.14334019009026316,0.20900409775291007
102,0.14230169447425955,0.20842617613242673
103,0.14137515895674088,0.20781956287934575
104,0.140313671741938,0.20723068174607656
105,0.13938261893850545,0.20668995529610582
106,0.13841531883196465,0.2060858221757976
107,0.1374994744585025,0.20561493396218683
108,0.1366205436702836,0.20508496678163116
109,0.13577729517199133,0.20446722075063428
110,0.1349238379548223,0.2041650296663229
111,0.13407643438200045,0.2037139508819121
112,0.13326951703473408,0.20339000861085257
113,0.13247113111586906,0.2030493233284505
114,0.13177556460295373,0.20259340551120708
115,0.13097417651148463,0.20213070218146778
